정류장ID,버스정류장명,정류장X좌표,정류장Y좌표
7458,양원초교.광영여고,12649.4072,3732.3468
7475,서울금융고등학교,12649.626,3732.2344
7478,신월5동주민센터.신월중학교,12649.657,3732.3552
7479,신월5동주민센터.신월중학교,12649.6548,3732.3714
7486,신월3동주민센터.신월3동우체국,12649.7301,3732.0796
7489,서부여성발전센터,12649.7439,3732.1067
7501,신화중학교,12649.8458,3732.3613
7508,신월1동주민센터.신월보건지소,12649.863,3731.931
7511,신화중학교,12649.881,3732.3792
7514,서서울호수공원,12649.957,3731.7422
7522,서서울호수공원,12649.9719,3731.7602
7533,신월동우성상가,12650.0303,3731.3074
7539,신월동우성상가,12650.0394,3731.303
7553,신월문화체육센터,12650.1149,3731.1981
7558,신월문화체육센터,12650.1719,3731.207
7569,국립과학수사연구소입구,12650.2221,3731.3413
7570,과학수사연구소입구,12650.2177,3731.3143
7572,신월시영아파트중문,12650.2029,3731.1453
7583,금실어린이공원,12650.2684,3731.0792
7586,경창빌딩,12650.3149,3731.1196
7592,한빛종합사회복지관,12650.3551,3731.2754
7593,한빛종합사회복지관,12650.3246,3731.2805
7614,강신중학교,12650.4222,3730.9224
10107,신월2동주민센터입구,12650.7414,3731.3654
10110,신월2동주민센터입구.경창전통시장,12650.761,3731.3821
10137,양강중학교,12650.9701,3731.431
13440,양강중학교,12650.9982,3731.4256
14684,중부운수앞,12649.8488,3731.4492
14689,중부운수앞,12649.8478,3731.4548
14909,신안파크아파트후문,12649.7278,3731.4386
14910,신안파크아파트후문,12649.7344,3731.446
14948,금실어린이공원,12650.2732,3731.0433
70769,신월중학교입구,12649.517,3732.3939
70770,국민은행신월동지점,12649.7464,3732.1483
70771,가로공원공영주차장.신영시장,12649.9814,3732.1827
70808,가로공원공영주차장,12649.9549,3732.1992
70809,국민은행신월동지점,12649.7714,3732.1745
70810,메디힐병원,12649.6634,3732.2255
70811,신월중학교입구,12649.5396,3732.4079
75325,강서초등학교,12650.5005,3731.3215
75336,양서중학교,12649.8573,3731.8929
75340,강서초등학교,12650.5159,3731.3127
75357,신월동남부주유소,12650.315,3731.1635
75690,강신중학교,12650.3885,3730.9518
75951,하나은행신월동지점,12650.2797,3731.8287
76440,신월시영아파트중문,12650.1948,3731.145
76527,신월문화체육센터,12650.2127,3731.2308
107546,신월시영아파트.강월초등학교,12650.1318,3730.9439
8000330,국립과학수사연구소.고강동종점,12649.5485,3731.4114
8000332,국립과학수사연구소.고강동종점,12649.5428,3731.4129
8001244,광영고.신동아파밀리에아파트,12649.3977,3732.3635
8003081,보람쉬움아파트.신영시장,12650.1159,3731.797
8003082,보람쉬움아파트,12650.1289,3731.788
8502021,양서중학교,12649.8097,3731.9704
9004254,양강중학교,12651.0168,3731.4917
9004272,신정네거리해누리분수광장,12651.0917,3731.316
9004274,동방아파트,12650.7804,3731.3158
9004275,동방아파트.신월종합사회복지관,12650.7783,3731.2884
9004276,신곡시장.금빛새마을금고,12650.6255,3731.1814
9004278,신한은행신월동지점,12650.4963,3731.0813
9004279,신한은행신월동지점,12650.5117,3731.0741
9004280,강월초교사거리,12650.2724,3731.0044
9004281,강월초교사거리,12650.268,3730.9845
9004283,신월시영아파트.강월초등학교,12650.1318,3730.9439
9007770,목동센트럴1단지,12650.4393,3730.9889
9007777,목동센트럴2단지,12650.4635,3730.9346
9007783,벽산.대주아파트,12650.493,3730.8669
9008098,거산아파트,12649.9227,3732.4156
9008105,신곡시장,12650.5582,3731.1259
9008109,목동센트럴2단지.이마트24,12650.452,3730.9463
9008112,벽산.대주아파트,12650.4836,3730.8767
9008198,목동센트럴1단지,12650.4312,3730.9961
9008213,수명산입구,12649.7319,3732.6071
9013261,거산아파트,12649.9016,3732.4428
9013264,강서양천교육지원청,12649.8394,3732.4709
9033319,신월2동우체국,12651.0749,3731.3849
9033324,신월시영아파트.강월초등학교,12650.1183,3730.9562
9033976,신곡시장.금빛새마을금고,12650.6251,3731.1584
9104272,신정네거리해누리분수광장,12651.0881,3731.3159
9104274,동방아파트,12650.7804,3731.3158
9104275,동방아파트.신월종합사회복지관,12650.7783,3731.2884
9104276,신곡시장.금빛새마을금고,12650.6255,3731.1814
9104278,신한은행신월동지점,12650.4963,3731.0813
9104279,신한은행신월동지점,12650.5117,3731.0741
9133976,신곡시장.금빛새마을금고,12650.6251,3731.1584
