하차정류장ID,하차정류장명,위도_y,경도_y,승객수
150,서울역,37.556228,126.972135,657
151,시청,37.565715,126.977088,84
152,종각,37.570161,126.982923,105
153,종로3가,37.570406,126.991847,147
154,종로5가,37.570926,127.001849,114
155,동대문,37.571687,127.01093,35
156,신설동,37.576048,127.024634,94
157,제기동,37.578103,127.034893,36
158,청량리(서울시립대입구),37.579956,127.044585,60
159,동묘앞,37.573197,127.01648,41
197,KBS스포츠월드,37.556781666666666,126.85051166666666,1
199,발산역,37.558501666666665,126.83922,1
201,시청,37.563588,126.975411,353
202,을지로입구,37.566014,126.982618,646
203,을지로3가,37.566306,126.991696,360
204,을지로4가,37.566595,126.997817,52
205,동대문역사문화공원(DDP),37.565613,127.009054,67
206,신당,37.56564,127.019614,49
207,상왕십리,37.564354,127.029354,46
208,왕십리(성동구청),37.561238,127.036954,20
209,한양대,37.555273,127.043655,123
210,뚝섬,37.547184,127.047367,191
211,성수,37.544581,127.055961,283
212,건대입구,37.540373,127.069191,111
213,구의(광진구청),37.537077,127.085916,68
214,강변(동서울터미널),37.535095,127.094681,78
215,잠실나루,37.520733,127.10379,32
216,잠실(송파구청),37.513262,127.100159,396
217,잠실새내,37.511687,127.086162,41
218,종합운동장,37.511022,127.073704,102
219,삼성(무역센터),37.508844,127.06316,403
220,선릉,37.504286,127.048203,426
221,역삼,37.500622,127.036456,596
222,강남,37.49799,127.027912,794
223,교대(법원.검찰청),37.493961,127.014667,327
224,서초,37.491897,127.007917,213
225,방배,37.481426,126.997596,181
226,사당,37.476538,126.981544,287
227,낙성대(강감찬),37.47693,126.963693,99
228,서울대입구(관악구청),37.481247,126.952739,156
229,봉천,37.482362,126.941892,68
230,신림,37.484201,126.929715,146
231,신대방,37.487462,126.913149,92
232,구로디지털단지,37.485266,126.901401,662
233,대림(구로구청),37.493243,126.894932,243
234,신도림,37.508961,126.891084,809
235,문래,37.517933,126.89476,185
236,영등포구청,37.525706,126.89661,439
237,당산,37.534946,126.902767,212
238,합정,37.549457,126.913808,457
239,홍대입구,37.55679,126.923708,712
240,신촌,37.555131,126.936926,393
241,이대,37.556733,126.946013,206
242,아현,37.557345,126.956141,26
243,충정로(경기대입구),37.559704,126.964378,153
245,신답,37.57004,127.046481,1
246,신설동,37.574747,127.024932,5
247,도림천,37.514287,126.882768,137
248,양천구청,37.512398,126.865819,109
249,신정네거리,37.520074,126.852912,51
250,용두(동대문구청),37.574028,127.038091,2
309,지축,37.648033,126.913917,36
310,구파발,37.636763,126.918821,56
311,연신내,37.619229,126.921038,58
312,불광,37.610553,126.92982,28
313,녹번,37.600927,126.935756,21
314,홍제,37.589066,126.943736,23
315,무악재,37.582299,126.950291,18
316,독립문,37.574571,126.957748,8
317,경복궁(정부서울청사),37.575762,126.97353,64
318,안국,37.576477,126.985443,119
319,종로3가,37.571605,126.991791,67
320,을지로3가,37.566672,126.992548,25
322,동대입구,37.559052,127.005602,124
323,약수,37.554867,127.010541,12
324,금호,37.548034,127.015872,6
325,옥수,37.541684,127.017269,19
326,압구정,37.527072,127.028461,251
327,신사,37.516334,127.020114,214
328,잠원,37.512759,127.01122,8
329,고속터미널,37.504891,127.004916,187
330,교대(법원.검찰청),37.493025,127.013786,31
331,남부터미널(예술의전당),37.485013,127.016189,157
332,양재(서초구청),37.484477,127.033902,208
333,매봉,37.486947,127.046769,57
334,도곡,37.490922,127.055452,23
335,대치,37.494612,127.063642,35
336,학여울,37.496663,127.070594,31
337,대청,37.493514,127.079532,38
338,일원,37.483681,127.08439,39
339,수서,37.487378,127.101907,33
340,가락시장,37.492245,127.117757,10
341,경찰병원,37.495918,127.12454,8
392,종로1가,37.57037,126.98012833333333,6
409,당고개,37.670272,127.079066,19
410,상계,37.660878,127.073572,14
411,노원,37.65627,127.063276,32
412,창동,37.653088,127.047274,31
413,쌍문,37.648627,127.034709,11
414,수유(강북구청),37.638052,127.025732,48
415,미아(서울사이버대학),37.62667,127.025983,56
416,미아사거리,37.613292,127.030053,48
417,길음,37.603407,127.025053,33
418,성신여대입구(돈암),37.592612,127.016441,78
419,한성대입구(삼선교),37.588458,127.006221,48
420,혜화,37.582336,127.001844,260
421,동대문,37.57093,127.009287,115
422,동대문역사문화공원(DDP),37.565133,127.007885,208
423,충무로,37.561207,126.99408,225
424,명동,37.560989,126.986325,187
425,회현(남대문시장),37.558514,126.978246,164
426,서울역,37.55281,126.972556,20
427,숙대입구(갈월),37.54456,126.972106,22
