승차정류장ID,승차정류장명,위도_x,경도_x,승객수
150,서울역,37.556228,126.972135,459
151,시청,37.565715,126.977088,83
152,종각,37.570161,126.982923,100
153,종로3가,37.570406,126.991847,165
154,종로5가,37.570926,127.001849,111
155,동대문,37.571687,127.01093,23
156,신설동,37.576048,127.024634,96
157,제기동,37.578103,127.034893,32
158,청량리(서울시립대입구),37.579956,127.044585,41
159,동묘앞,37.573197,127.01648,44
201,시청,37.563588,126.975411,272
202,을지로입구,37.566014,126.982618,488
203,을지로3가,37.566306,126.991696,260
204,을지로4가,37.566595,126.997817,72
205,동대문역사문화공원(DDP),37.565613,127.009054,30
206,신당,37.56564,127.019614,62
207,상왕십리,37.564354,127.029354,39
208,왕십리(성동구청),37.561238,127.036954,39
209,한양대,37.555273,127.043655,82
210,뚝섬,37.547184,127.047367,142
211,성수,37.544581,127.055961,191
212,건대입구,37.540373,127.069191,111
213,구의(광진구청),37.537077,127.085916,52
214,강변(동서울터미널),37.535095,127.094681,78
215,잠실나루,37.520733,127.10379,33
216,잠실(송파구청),37.513262,127.100159,352
217,잠실새내,37.511687,127.086162,42
218,종합운동장,37.511022,127.073704,95
219,삼성(무역센터),37.508844,127.06316,277
220,선릉,37.504286,127.048203,383
221,역삼,37.500622,127.036456,412
222,강남,37.49799,127.027912,594
223,교대(법원.검찰청),37.493961,127.014667,254
224,서초,37.491897,127.007917,172
225,방배,37.481426,126.997596,133
226,사당,37.476538,126.981544,415
227,낙성대(강감찬),37.47693,126.963693,84
228,서울대입구(관악구청),37.481247,126.952739,143
229,봉천,37.482362,126.941892,53
230,신림,37.484201,126.929715,111
231,신대방,37.487462,126.913149,71
232,구로디지털단지,37.485266,126.901401,481
233,대림(구로구청),37.493243,126.894932,181
234,신도림,37.508961,126.891084,808
235,문래,37.517933,126.89476,137
236,영등포구청,37.525706,126.89661,386
237,당산,37.534946,126.902767,155
238,합정,37.549457,126.913808,342
239,홍대입구,37.55679,126.923708,567
240,신촌,37.555131,126.936926,347
241,이대,37.556733,126.946013,126
242,아현,37.557345,126.956141,34
243,충정로(경기대입구),37.559704,126.964378,135
246,신설동,37.574747,127.024932,2
247,도림천,37.514287,126.882768,119
248,양천구청,37.512398,126.865819,95
249,신정네거리,37.520074,126.852912,13
250,용두(동대문구청),37.574028,127.038091,1
309,지축,37.648033,126.913917,24
310,구파발,37.636763,126.918821,35
311,연신내,37.619229,126.921038,48
312,불광,37.610553,126.92982,16
313,녹번,37.600927,126.935756,21
314,홍제,37.589066,126.943736,23
315,무악재,37.582299,126.950291,10
316,독립문,37.574571,126.957748,5
317,경복궁(정부서울청사),37.575762,126.97353,62
318,안국,37.576477,126.985443,97
319,종로3가,37.571605,126.991791,37
320,을지로3가,37.566672,126.992548,15
322,동대입구,37.559052,127.005602,78
323,약수,37.554867,127.010541,5
324,금호,37.548034,127.015872,3
